1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
6.2.18	asamāptāsu tv api hotṛṣāma pathyayaiva tathā kuryāt
6.2.19	kulāyinīṃ cet prayuñjīta prathamasyāhno dvitīyaṃ pṛṣṭhaṃ tayā vidadhyāt
6.2.20	ṣaṣṭhasyāhna uttamam uktham uttamayā trayastriṃśasya viṣṭutyā vidadhyāt
6.2.21	uktaḥ prayogo brāhmaṇena catuścatvāriṃśe
6.2.22	savanasamīṣantī pūrvaḥ prayogaḥ stotrasamīṣanty uttaraḥ
6.2.23	tathā kuryād aharbhāji
6.2.24	pathyām anyatra
6.2.25	aṣṭācatvāriṃśasyottarayā maitrāvaruṇasyaivājyaṃ vidadhyāt
6.2.26	sarvatra vā hotṛkasāmāni
6.2.27	madhyame madhyame vā savaneṣu
6.2.28	dvitīyacaturthe vā
6.2.29	uttare vā
6.2.30	adaśarātreṣu sattreṣu pathyā eveti gautamaḥ
6.2.31	sarvā iti dhānañjapyaḥ
6.3.1	tṛcasūktānām ādigrahaṇena vidhir anādeśe
6.3.2	tṛcottamāyāṃ pratilomaḥ
6.3.3	madhyamāyāṃ saiva
6.3.4	retasyaikatrikasya bahiṣpavamānam
6.3.5	udbhidy anurūpam ekarcaṃ śāṇḍilyaḥ
6.3.6	stotrīyaṃ gautamadhānañjapyāḥ
6.3.7	uttamau cau bahiṣpavamāne cāturmāsyeṣu
6.3.8	tathā sāhastottame
6.3.9	sarvasvāre ca tṛcāḥ
6.3.10	vāmadevyayajñāyajñīyāraṇyegeyapṛṣṭhapūrvāṇāṃ tṛcakaraṇam uttarayoḥ pavamānayoḥ
6.3.11	anyeṣāṃ cāvipratiṣedhaḥ
6.3.12	ekam ekarcaṃ kurvan prathamāyām āditaḥ kuryāt
6.3.13	dvau tasyām eva
6.3.14	trīn ekatṛce nānā stotrīyāsu
6.3.15	caturṇāṃ prathamāyāṃ dvāv itarau nānottarayoḥ
6.3.16	mādhyandine ced eko dvau vā bṛhatyām eva
6.3.17	trīn yatarasyāṃ saṃbhaveyuḥ
6.3.18	anadhyāsā cet dvayor anyataraṃ gāyatryāṃ dhānañjapyaḥ
6.3.19	ubhau bṛhatyāṃ śāṇḍilyaḥ
6.3.20	sādhyāsāyāc ced eko 'dhyāsyāyām evāntataḥ
6.3.21	dvau tasyāṃ cāditaś ca sā śaśakarṇakLptā
6.3.22	triṣv adhyāsyā lupyata
6.3.23	caturo nānā stotrīyāsu
6.3.24	dvādaśe bṛhatyāṃ sāmatṛcaḥ
6.3.25	ārbhave ced eko 'nuṣṭubhi
6.3.26	dviprabhṛtīn kakupprabhṛtyānantaryeṇa
6.3.27	uṣṇikkakubhos tṛcaikarcatvam avyāghātena
6.4.1	vāmadevyaṃ tu tṛce viśvajicchilye yajñāyajñīyaprabhṛtīni ca trīṇi
6.4.2	saṃbhavati stome 'ntyaṃ sarvatra tṛce
6.4.3	dvitīyaṃ ced araṇye geyam
6.4.4	tadabhāve yadantyāt pūrvam
6.4.5	ekarcasthāneṣv anāpadyamānāni tṛceṣu kuryāt gāyatraṃ triṇidhanaṃ madhyandine madhye nidhanam aiḍam ārbhave
6.4.6	anādiṣṭatṛcaikarcāny etenoddeśena kalpayet
6.4.7	kakuby atra madhyandina ekarcas tasyām anyatrottamād vrātyastomāt
6.4.8	pūrvayor vrātyastomayor ārbhave gāyatram ekarce dhānañjapyas tṛce marutāṃ saṃstobham
6.4.9	viparotaṃ śāṇḍilyaḥ
6.4.10	caturṛcānām āvṛttiṣv antyām uddharet
6.4.11	tṛtīyāṃ sarvasvārasvarasāmnoḥ
6.4.12	pravām arcantīti dvitīyām
6.4.13	suṣamiddha ity atrivasiṣṭhaśunakakaṇvasaṃkṛtivadhryaśvānāṃ tānūnapātīm
6.4.14	nārāśaṃsīm anyeṣām
6.4.15	samavāye tu bhūyasāṃ kalpaḥ
6.4.16	gṛhapatiṃ vānusattriṇo 'nubhavantīti bhavantīti
6.5.1	vardhamāneṣu stomeṣu prathamasya paryāyasya prathamā tṛcabhāgā tasyās trirvacanam
6.5.2	madhyamāvāpasthānam
6.5.3	uttamā paricarā
6.5.4	paricarā tṛcabhāgāvāpasthānam iti madhyame
6.5.5	āvāpasthānaṃ paricarā tṛcabhāgety uttame
6.5.6	ete viṣṭāvāḥ
6.5.7	tadabhāve tṛcabhāgāsthāneṣu paryāyāṇāṃ paryāyāḥ syuḥ
6.5.8	yathā vaikaḥ paryāyaḥ
6.5.9	naikinīparyāyā vidyante
6.5.10	tathā trike viṣṭāvāḥ
6.5.11	trivṛtaś codyatyām
6.5.12	sameṣu samaḥ prayogaḥ stotrīyāṇām
6.5.13	ekaikādhiśayeṣv adhikā dve hy adhiśayeṣu
6.5.14	te viṣamāḥ
6.5.15	yugmāyuktādvyuttarībhāveṇa vartante
6.5.16	ayuja ekiprabhṛtayo dvikaprabhṛtayo yujaḥ
6.5.17	tryuttarībhāveṇobhayesāṃsamavaiṣamyam
6.5.18	ekiprabhṛtaya ekādhiśayāḥ
6.5.19	dvikaprabhṛtayo hy adhiśayāḥ
6.5.20	samās trikaprabhṛtayaḥ
6.5.21	viṣamāḥ samaparyāyair vartante
6.5.22	yāv abhito 'nantarau samau tayoḥ paryāyān saṃharet
6.5.23	pūrvasyaikam ekādhiśayeṣu
6.5.24	dvau dvyadhiśayeṣu
6.5.25	ubhayān yathājāti
6.5.26	yugmāyugbhyo vā
6.5.27	tatra yujām ekādhiśayānām ayujaḥ pūrvau paryāyau
6.5.28	uttarau dvyadhiśayānām
6.5.29	viparyayo yugmāyujām ayukṣu
6.5.30	yathāsthānaṃ paryāyān kuryāt so 'vidoṣaḥ
6.6.1	yadavasānaḥ pūrvaḥ paryāyas tatprabhṛtir uttaraḥ
6.6.2	tatsāmāt sāmyam
6.6.3	tad ubhayaṃ kuryāt
6.6.4	brahmāyatanīyāṃ ca
6.6.5	tathā paryāyaroham asaṃbhavatsu sarveṣu samāt samām eva kuryāt
6.6.6	paryāyapratyavarohaṃ tu varjayet
6.6.7	viḍāyatanīyāṃ ca
6.6.8	prathamāyāḥ prayoge bhūyiṣṭhe brahmāyatanīyā madhyamāyāḥ kṣatrāyatanīyottamāyā viḍāyatanīyā
6.6.9	dāśarātrikebhyaḥ paryāyakṛtau pathyāparyāyān eva saṃharet
6.6.10	parivartinyās tu trivṛto 'nādeśe
6.6.11	eṣa nyāyo 'nādiṣṭānām
6.6.12	ekinyāvartisthānagate triṣ purastāddhiṃkāraṃ śāṇḍilyaḥ trike ca prathamayā stomapūraṇam
6.6.13	tṛcena dhānañjapyaḥ sakṛc caikini hiṅkāram
6.6.14	jātisaṃhāraḥ pañcini
6.6.15	pañcadaśaparyāyaiḥ pṛthaganupūrvaṃ rātriparyāyān vidadhyāt saṃlaṅghitāyām iti bhāṇḍitāyanaḥ
6.6.16	tatra viṣṭāvāḥ paryāyasthāneṣu syuḥ pṛthak ca stotrīyāsu paryāyāḥ
6.6.17	dāśarātrikebhya ekayājyāyaḥsu tasmāt pūrvasyottame paryāya āvapet
6.6.18	brahmāyatanīyā tu teṣu kṣatrāyatanīyā vā
6.6.19	āskandaṃ tu gautamaś catvāriṃśe
6.6.20	dhānañjapya itareṣu
6.7.1	daśini catuṣko madhye parivartinī paryāyāvabhitaḥ
6.7.2	udyatyā vā
6.7.3	udyatīparyāyayor brahmāyatanīyāṃ kurvan prathamāyāṃ catuṣkaṃ kuryāt
6.7.4	dvādaśe tṛcabhāgāsthāneṣu dvikāviṣṭāvāḥ
6.7.5	trayodaśatrayoviṃśayoḥ pañcaviṃśe ca madhyamaḥ paryāyo jyāyān ekajyāyaḥsu kanīyān ekakanīyaḥsu
6.7.6	tathaikānnatriṃśaikatriṃśayoḥ
6.7.7	rūḍhaparyāyā vā
6.7.8	teṣāṃ prathame yugmāyuksaṃhāraṃ śāṇḍilyāyanaḥ
6.7.9	dvitīye śāṇḍilyaḥ
6.7.10	ubhayor jātisaṃhāraṃ dhānañjapyaḥ
6.7.11	śāṇḍilyaś ca pañcaviṃśe
6.7.12	aṣṭādaśaṃ saptadaśa evāvaped iti gautamaḥ
6.7.13	nyāyavihitaḥ syād iti dhānañjapyaḥ
6.7.14	ekānnaviṃśe parivartinī paryāyāv abhitas trayodaśī madhye
6.7.15	tasmin prathamāyās trirvacanaṃ tathottamāyāḥ
6.7.16	pañcadaśa paryāyāv abhito navī madhye trikaviṣṭāv iti dhānajapyaḥ
6.7.17	śāṇḍilyāyanas tu jātisaṃhāram
6.7.18	dvātriṃśe tisro viṣṭutīḥ kuryād iti gautamaḥ
6.7.19	tāsāṃ paryāyakṛtiprayogau catusraś catvāriṃśena vyākhyāto
6.7.20	apy aharbhāji prathamayaiveti śāṇḍilyaḥ
6.8.1	catuṣṭomayoś catuṣparyāyāḥ
6.8.2	tatra catuṣke dvau prathamāyāṃ paryāyau syātāṃ yadi brahmāyatanīyāṃ kuryāt
6.8.3	madhyamāyāṃ kṣatrāyatanīyāṃ cet
6.8.4	tathāṣṭini dvikās tu tasya paryāyāḥ
6.8.5	pūrvayoḥ pūrva uttarayor uttara evaṃ vihitāv aparāv iti śāṇḍilyaḥ
6.8.6	pūrvayor dvitīyaḥ pṛthakstotrīyāsv itara iti dhānañjapyaḥ
6.8.7	dvādaśe vyākhyātau prathamottamau madhyamau dvikau pūrvayoḥ pūrva uttarayor uttaraḥ
6.8.8	ṣoḍaśe catvāro dvādaśaparyāyās teṣāṃ madhyamau sadṛśau
6.8.9	caturviṃśe catvāraḥ ṣaṭkāḥ paryāyā dviviṣṭāvāḥ
6.8.10	pṛthaktṛceṣu paryāyāḥ syuḥ
6.8.11	dvayor dvayor vā vyatyāsam
6.8.12	yajñāyajñīyarkṣu vā prathamaḥ prathamāsu ca yajñāyajñīyaprathamāyāṃ sākamaśvarkṣu paramadhyamayoś ca dvitīyaḥ pūrvayoś ca madhyamayor hārivarṇarkṣu tairaścyottamāyāṃ ca tṛtīyaḥ pūrveṣāṃ cottamāsu tairaścyarkṣu cāntyaḥ
6.8.13	upottamo vā dvikaviṣṭāvo 'śvamedhe 'ṣṭādaśād itare
6.8.14	pañcadaśaparyāyau pūrvāv ekaviṃśasyottarāv iti vottarāv iti vā
6.9.1	chando daivatasāmāntayogān nyāyyān bruvate yathā ṣoḍaśimato 'tirātrasya jyotiṣṭomasya
6.9.2	ukthottame 'nuṣṭubho nyāyyāḥ
6.9.3	vichandasas tu vacanāt
6.9.4	yaddevatyāsu stuvate sā stotradevatā
6.9.5	anvadhyāyam apavādaniśāmanam
6.9.6	svārāṇi hāikārasvārapadānusvārāṇi
6.9.7	tebhyo 'nyāny aiḍavāṅnidhanebhyaś ca nidhanavanti
6.9.8	sarveṣāṃ tulyasaṃnipāte jāmi vāco 'nyatra
6.9.9	tan na kuryād anādeśe
6.9.10	daśarātrāt ṣāḍahikāny aṣṭamanavamayoś caitāny ahīnatantrāṇi
6.9.11	jyotiṣaś ca goś caikāhike
6.9.12	kalpasaprāyāṇy ṛksāmāni yatra samavayanti tad āśīstantraṃ yathābhicaraṇīyeṣu
6.9.13	bhūyiṣṭhaṃ tantralakṣaṇam
6.9.14	uttarayoḥ savanamukhīye gāyatryāv iti śaucivṛttiḥ
6.9.15	madhyandinīyānvācāryāṇām
6.9.16	dvirātraprabhṛtiṣv ahīneṣu prāk ṣaḍahebhya uttamam uttamaikāhikam iti rāṇāyanīputraḥ
6.9.17	sarvāṇy āhīnikānīti vaiyāghrapadyaḥ
6.9.18	ahīnaikāhasamāsaṃ tu lāmakāyanaḥ
6.10.1	avasānaṃ prastāvāntalakṣaṇam avibhāgyānāma
6.10.2	caturakṣaraḥ pūrve vāravantīye
6.10.3	tathā vājabhṛti
6.10.4	kārṇaśravasājigarūpāṇāṃ ca
6.10.5	padaṃ vājigaprabhṛtīnām
6.10.6	stomānta ābhīśavayoḥ
6.10.7	abhyastenottarasya
6.10.8	vāgvāmre
6.10.9	hāukāraś cyāvane
6.10.10	ṣoḍaśākṣaro nānadasya
6.10.11	tathā gośṛṅgasaṃjayayor yac ca rātryāṃ daivodāsam
6.10.12	ṣaṭtriṃśadakṣararṣabhasya raivatasya
6.10.13	sarveṣām oṅkāreṇodgīthādānam
6.10.14	prathamākṣaralopaṃ tu dhānañjapyaḥ
6.10.15	alopaṃ śāṇḍilyaḥ
6.10.16	svarādiṣu tam eva svaram oṅkārīkuryād āgantum oṅkāraṃ vyañjanādiṣu
6.10.17	sarvatra tv evāgantuṃ dadhyāt
6.10.18	agrastam avyastam avilambitam anambūkṛtam urasi pratiṣṭhitam adantāghātinaṃ śabdam uccārayann udgāyed iti dhānañjayaḥ
6.10.19	pratyakṣaparokṣakṣipraciranyastodāttakṛṣṭākṛṣṭānāṃ yena saṃsvaret tat kuryāt
6.10.20	sarvaṃ tu laghīyasā
6.10.21	amātrālopena
6.10.22	padādiḥ pratihārasthānaṃ sarvatra
6.10.23	padānirdeśe cottame pade
6.10.24	saṃkhyāviṣaye cākṣarādhikāraḥ
6.10.25	antaḥpratihāraṃ stobhān pratihartā brūyāt
6.10.26	ūrdhvaṃ cārcikāvyavetān
6.10.27	aṣṭākṣarapadottamānāṃ catvāry anyatra paṅktibhyaḥ
6.10.28	tasmin nyāyyasamājñā
6.10.29	padāntam aviśeṣeṇopottamāt padāt pratīyāt
6.11.1	eṣa nyāyo 'nādeśe
6.11.2	saumedhasyaurṇāyavayor ṛṣabhasya pāvamānasya īnidhanasya mārgīyavasyaiteṣamupariṣṭāt pratihārasyodgātā stobhaṃ bruyāt
6.11.3	nyāyyapratihārāṇām iḍāsaṃkṣārāś ca sūktaiḍasvaravārṣāharasvārakautsānāṃ gor āṅgirasasya sāmno 'bhyāsavataś ca krauñcasyāgnim īyāmasyaiteṣāṃ purastāt pratihartā
6.11.4	saṃhitam ārṣabhaṃ śākalaṃ vājadāvaryaḥsvāraṃsaimitraṃ padanidhane kāṇvarohitakūlīye yauktāśvasauvarṇānām uttare yaudhājayannaudhasamāṣkāranidhanaṃ kāṇvaṃ yauktaśrucaṃ tiraścīnanidhanam āyāsyam indrasya yaśo vaiplavam uttaraṃsaphaṃ pramaṃhiṣṭhīyaṃ dīrghaṃ pauṣkalam āndhīgavaṃ bṛhadāgneyaṃ śyāvāṃ ca traiśoke teṣāṃ dve
6.11.5	purastāt stobho yauktāśvayoḥ pūrvasya
6.11.6	śyāvāśvatraiśokayoḥ padāntaḥ
6.11.7	astobhas tu śyāvāśvasya
6.11.8	oṅkārādis tṛtīyacaturthībhyāṃ prāgghiṃkārād viśoviśīye
6.11.9	hiṅkārādir vā pañcamaṣaṣṭhābhyām
6.12.1	śauktanārmedhe dvipratihāre
6.12.2	prathamanavamābhyāṃ śauktasya
6.12.3	padāntaś caturbhiḥ pūrvo nārmedhasya caturbhir eva madhyamair uttaraḥ
6.12.4	ekapratihāraṃ vottareṇa
6.12.5	bhāsavairūpayor gāyatrīsāmnoḥ padānto dvābhyāṃ bhāse caturbhir uttarasya
6.12.6	tṛtīyena padena yajñāyajñīyanidhane sauhaviṣe
6.12.7	śrayantīyavaruṇasāmadvaigatāñjasāṃ daśa
6.12.8	teṣāṃ pūrvayoḥ sarvaṃ padaṃ dve ca punaruktasya
6.12.9	dvaigate padāntaḥ
6.12.10	upottamasya padasya padādir añjasaḥ
6.12.11	viśoviśīyaprabhṛtīnāṃ vā navānām uttamasya padasyādau dve
6.12.12	hāikārānto viśoviśīye
6.12.13	śrāyantīyavaruṇasāmnor abhyāsādiḥ
6.12.14	vāmadevyaṃ svāraṃ śākamaśvaṃ pāṣṭhauhaṃ nidhanakāmaṃ satrāsāhīyaṃ kākṣīvataṃ cyāvanaṃ gāyatrīsāmauśanaṃ nidhanavad aidhmavāhaṃ teṣāṃ pañcamaṣaṣṭhaṃ vikalpete nyāyyena vikalpete nyāyyena
7.1.1	gūrdaḥ saumedhaṃ mādhucchandasam audalaṃ sauśravasam uttaraṃ vārtraturam ṛṣabho raivataḥ kautsam auṣṇiham ātīṣādīyaṃ krośam okonidhanaṃ svāraṃ sāmarājaṃ mārutam auṣṇiham ākṣāraṃ sujñānaṃ hārivarṇaṃ sāṃvartaṃ jāgataṃ varuṇasāma marutāṃ dhenusraugmataṃ teṣāṃ catvāri
7.1.2	abhyāso gūrdasya
7.1.3	abhyāsādir uttareṣāṃ trayāṇām
7.1.4	uttamāni sauśravase 'stobhāni
7.1.5	aṣṭau vā vārtrature
7.1.6	pūrvayoś ca nyāyyaḥ
7.1.7	madhyamaṃ vacanam ṛṣabhe
7.1.8	madhyamāny uttareṣāṃ pañcānām
7.1.9	prāg vābhyāsād uttamāni kautse
7.1.10	prathamāni vā sāmarājasya sapurastāt stobhaḥ
7.1.11	ṣaḍ vā pañcamaprabhṛtīni mārute
7.1.12	āśvarathantarayoḥ pañca
7.1.13	vaidanvate cābhyāsavaty uttame tu padāntaḥ
7.1.14	tasyādau vā dve ubhayataḥ stobhe
7.1.15	tṛtīyaṃ vā
7.1.16	ubhau vaikaḥ
7.2.1	ākūparakrauñce gāyatrīsāmanī devātithaṃ gauṣūktaṃ rauravaṃ dvihiṃkāraṃ vāmadevyam ekārāntaprastāvaṃ vaiyaśvam araṇyegeyaṃ śākvaravarṇaṃ saubharaṃ bārhadgirarāyo vājīye svāram aidhmavāhaṃ gauśṛṅgaṃ hārāyaṇaṃ kaulmalabarhiṣe janitram uttaraṃ vaitahavyam ihavad vāmadevyaṃ pratīcīneḍaṃ kāśītaṃ vaiṣṇavaṃ pūrvaṃ śyaitaṃ saṃjayaṃ teṣāṃ ṣaṭ
7.2.2	astobhāv uttamayoḥ
7.2.3	prathamatṛtīyayor ubhayataḥ stobhau
7.2.4	prāg aukārāt prathame
7.2.5	hiṅkārāt tṛtīye
7.2.6	apratihāre pūrve stotrīye śākvaravarṇasya
7.2.7	ihakārānta aidhmavāhe stobhaḥ
7.2.8	sarvo vā
7.2.9	prāgovāyās triṣūttareṣu
7.2.10	pairumadge ca
7.2.11	okārāj janitre
7.2.12	saha vauvayā paurumadgae
7.2.13	gauśṛṅgahārāyaṇakaulmalabarhiṣavaitahavyānāṃ vā padāntaḥ
7.2.14	dvābhyāṃ pūrvayoś caturbhir uttarayoḥ
7.2.15	purastāt stobhaḥ kaulmalabarhiṣasya
7.3.1	sapta vāravantīye pūrvasmin
7.3.2	teṣāṃ trīṇi padānte
7.3.3	kārṇaśravasaṃ traitaṃ pajraṃ tauraśravasam uttaraṃ śrudhyam udvaṃśaputraḥ śākvaraṃ teṣām aṣṭau
7.3.4	pajratauraśravasayor ardhāni padānte
7.3.5	śrudhyasya ca kakupsu
7.3.6	tasya gāyatrīṣu catvāri
7.3.7	ṣoḍaśabṛhatīṣu
7.3.8	nadambaaudatīnām iti daśa
7.3.9	madhyamasya padasyābhyāsaḥ śākvare
7.3.10	nyāyyo vā
7.3.11	bhaṃśnauṣṭaṃ jāgataṃ somasāma kārttayaśaṃ svaraṃ payonidhanam ṛṣabhaḥ śākvaro yaṇvāpatye teṣām upottamaṃ padam
7.3.12	purastāt stobhā uttamānāṃ trayāṇām
7.3.13	apratihārā prathamā stotrīyā yaṇvāpatyayoḥ
7.3.14	pañcānāṃ vādita uttame pade catvāri
7.3.15	vaikhānasaṃ pauruhanmanam udvaṃśīyam ākāraṇidhanaṃ tvāṣṭrīsāma teṣām uttamaṃ padaṃ prāg abhyāsāt
7.3.16	abhyāse vā catvāry uttarayoḥ
7.4.1	śāktyasāma maidhātithaṃ vāravantīyam uttaram ābhīśave simānāṃ niṣedhastriṇidhane tvāṣṭīsāmāyāsyedārḍhacyutam ātharvaṇaṃ revatya aiṭatam agnes triṇidhanam utsedhaniṣedhāvaiḍaṃ sākamaśvaṃ dairghaśravasaṃ dāsasyatyaṃ grāmegeyaśyenastāni dvipratihārāṇi
7.4.2	madhyamayoḥ padayoḥ śāktyasāmamaidhātithayoḥ padānto dvābhyāṃ caturbhir vā
7.4.3	ikārādyantau stobhau vāravantīye
7.4.4	saptabhir vaikapratihāraṃ prāgihāhāyāḥ
7.4.5	ukārādikena padāntaḥ
7.4.6	nyāyyo vā
7.4.7	pūrvayoś ca
7.4.8	vāravantīyasya dvipadāsu saptānāṃ sthāne catvāri dve caturṇām
7.4.9	dve ekam ity ekapadāyām
7.4.10	uttarayoḥ padayor uttareṣām
7.4.11	dve dve tu ṣaṇṇām ābhīṣavaprabhṛtīnām
7.4.12	catvāri vā simānāṃ niṣedhasya
7.4.13	tvāṣṭrīsāmnaś ca
7.4.14	sapurastāt stobhāv ātharvaṇasya
7.4.15	tatprabhṛtīnāṃ catvāri
7.4.16	aṣṭau vā dāśasyatye
7.4.17	pūrve vottareṇaikapratihāre
7.4.18	tṛtīyapañcamābhyāṃ padābhyāṃ śyene
7.4.19	caturthaṣaṣṭhayor vā padayor dve padayor dve
7.5.1	pṛthakstotrīyāsu pratihārāḥ saṃtaninaḥ
7.5.2	trayas traya ūdhaḥsu mahānāmnīnām
7.5.3	tathā svarāś ca nityavatsātīṣaṅgayoḥ
7.5.4	dve dve sarveṣām
7.5.5	ṣaḍ vā śākvarottameṣu mahānāmnīnām
7.5.6	ṣaṣṭham adhyāseṣu
7.5.7	madhyamaṃ vacanaṃ staubhikaṃ purīṣeṣu
7.5.8	apratihārāṇy eke 'dhyāsapurīṣāṇi
7.5.9	tāsāṃ prathamadvitīye pade dvipadās trīṇi śākvarāṇi dhātur vatsaūdhas tacchākvaraṃ puruṣas trīṇi śākvarāṇy adhyāsyeti padāni
7.5.10	uttamā tu dvyadhyāsā
7.5.11	dvipadāsu prastāvaḥ śākvaraprathameṣv adhyāsapurīṣeṣu ca
7.5.12	bhāsenoktaḥ padānto yajñāyajñīye devasthāne vairupeṇa
7.5.13	araṇye geyaḥ śyenaḥ pārthuraśmam achidrarayiṣṭhe teṣām uttareṣu padeṣu dve dve pūrvayoś catvāri catvāry uttarayoḥ
7.5.14	ubhayataḥ stobhāḥ pārthuraśmasya
7.5.15	devatāpadaṃ devatāpadam iti vairūpe nidhanāni
7.5.16	prāk śiśumatyāḥ stobhaiḥ pratihāraḥ
7.5.17	aikādaśam aiḍadaivodāse
7.5.18	saptamāṣṭamābhyām abhyaset caikakubhasya
7.5.19	navamadaśamābhyāṃ vaiśvamanasasya
7.5.20	tathā vṛṣṇas trir uktābhyāṃ tu tasya
7.5.21	sadṛśagītiṣu sarveṣu padeṣu pṛthakpadāni bhajeran pratyantād anādeśe śeṣam udgātā tāni vibhāgyāni
7.5.22	ādyantasrubdheṣu padāya padāya stobhed yo yaḥ padaṃ brūyāt
7.5.23	tathānupadaṃ srubdheṣu
7.6.1	ūrdhvaṃ tu prathamāt padāt saṃkṛtinaḥ
7.6.2	prāk caturthāt padāt stobhaiḥ pratihāraḥ
7.6.3	nidhanāni padāny upāyasadṛśāḥ stobhāntā yeṣāṃ tāni stobhavibhāgyāni
7.6.4	tayaiva padāya pratihartā stobhet
7.6.5	upāyavantaḥ stobhā ekavṛṣasya
7.6.6	devatāsu carṣabhasya śākvarasya
7.6.7	tāsāṃ nānāstobhet padebhyaḥ
7.6.8	gāyatrīsāmasu vibhāgyeṣūttamaṃ vyāvargaṃ śikṣā pratihared iti dhānañjapyaḥ
7.6.9	sarveṇaiva padeneti śāṇḍilyāyanaḥ
7.6.10	trir uktaṃ stobhān chukriyeṣu catur brūyur anyatra nidhanebhyaḥ
7.6.11	mahādivākīrtyasya prāstāvike devate vipariharet
7.6.12	tasyātmā stobhavibhāgyaḥ
7.6.13	prathamāyaivānugānāya prastotā prastuyād ātmane ca
7.6.14	itarāṇy anugānāny udgātaiva brūyāt
7.6.15	teṣāṃ nidhaneṣv enam anūpeyātām
7.6.16	uttamāni vā trīṇy anugānāni pratyāhṛtyetaraiḥ sahātmapadebhyaḥ stobhadharmeṇānusaṃhareyuḥ
7.6.17	yāni purastād ātmanas tāni sakṛt stotrādau yāny ūrdhvantāni sakṛt stotrānte
7.6.18	paryāyādiparyāyāntayor vā
7.6.19	bhāsanidhane daśamasya padasyopāyam udgātaiva brūyāt
7.6.20	sarvaṇi rājane trir uktāni pañcakṛtvo brūyuḥ
7.6.21	tasyānupadayastobhāḥ padena prastāvaḥ
7.6.22	tṛtīyena padena purastāt stobhena pratihāraḥ
7.6.23	vibhāgyaṃ vā
7.6.24	tatra devatābhyo yad yad anantaraṃ pūrvaṃ padaṃ tena sahanā brūyuḥ
7.6.25	vyavastobhet padadaivatam ity eke
7.6.26	yathādhītaṃ vā
7.7.1	nidhanāni padāni padastobheṣu tatheḍāḥ
7.7.2	tebhyo nānā stobheyuḥ
7.7.3	tribhyaḥ prathamebhyaḥ prastotā
7.7.4	tribhya eva saptamaprakṛtibhyaḥ pratihartā
7.7.5	ardhapadaṃ nidhanam iḍāvyaveteṣu
7.7.6	sarvam avyaveteṣu
7.7.7	caturthasya prathamaḥ pādatryakṣarāṇi catvāri nidhanāni
7.7.8	tathā tṛtīyaḥ
7.7.9	dvitoyottamau vā dvaidhaś caturakṣaraśa itarau
7.7.10	avibhāgyā vā
7.7.11	aṣṭamaiḥ stobhaiḥ prathamasya navamair madhyamayor daśamair uttamasya navamair vā
7.7.12	ilāndasyottamaṃ 'nugāne ṣaṭ
7.7.13	vibhāgyānītarāṇi
7.7.14	prathamaṃ vā vibhāgyam
7.7.15	tatrottamasya stobhasya madhyamena vacanena
7.7.16	ekādaśa dairghatamasasya
7.7.17	aṣṭamaiḥ stobhair bhadraśreyasoḥ
7.7.18	pañcamaiś ca yadi dvipratihāre
7.7.19	pañcākṣaraśaḥ stobhavibhāgye dharmavidharmaṇī
7.7.20	dvipadākāraṃ vā
7.7.21	tayor daśamena stobhena pratihāraḥ
7.7.22	ṣaṣṭhena ca yadi dvipratihāre
7.7.23	padānte trīṇi sāhaviṣe
7.7.24	padādau vā
7.7.25	madhyamaṃ vacanaṃ svarvannidhane sauhaviṣe
7.7.26	vibhāgyaṃ vā
7.7.27	madhyamam eva vacanaṃ purastāt stobhaṃ vairājasya
7.7.28	tasya padāntāṃś catur abhyasyeyur tri vā
7.7.29	tathā cāturthikasya vātsaprasya
7.7.30	samādhis tu
7.7.31	avibhāgyānām uttame pade prāg upāyāt ṣaṭsu vyāvargavatsv aṣṭasu vā yathā vāmadevyakrośe pūrveṇa vyāvargeṇa pratihared iti dhānañjayaḥ
7.7.32	uttareṇeti śāṇḍilyāyanaḥ
7.7.33	prātihārikam eva gītaṃ pratihāro vaichandaseṣv apy apadādau
7.7.34	nordhvaṃ pratihārād oṅkāreṇādadīteti dhānañjapyaḥ
7.8.1	pratyavetasvarāṇāṃ tu pratyudgṛhṇīyāt
7.8.2	yathākāleyasya nakā33333riṇām yathā vātsasya mayo3333 vā3
7.8.3	oṃkāreṇa pratyavetasvarāṇām ādadīteti gautamaḥ
7.8.4	yathāmnāyaṃ śāṇḍilyaḥ
7.8.5	ihakāraiḍāthakārau gītaṃ ca nidhanasvaraṃhīṣīsvaraṃ ca dvyakṣaraṃ devatāś cāraṇyegeyeṣu tāny antaḥsāmanidhanāni vāk cet stobhānto 'nantaraḥ purastāt vṛddhaḥ kṛṣṭo vā kāraḥ svaritaṃ vārcikaṃ vā vṛddhaṃ pūrveṣāṃ trayāṇāṃ yathā revatyas tvāṣṭrīsāma yaudhājayaṃ dārḍhacyutam ātharvaṇam āndhīgavam ihavad vāmadevyam
7.8.6	tebhyo yan nigadavṛtyanantaram ārcikaṃ tena sahopeyur anādeśe
7.8.7	purīṣeṣv ārcikaṃ prastāvāt
7.8.8	krauñce parivāraḥ
7.8.9	ihavadvāmadevye parāvihakārau
7.8.10	niṣedhe cobhau
7.8.11	triṇidhane tvāṣṭrī sāmny upagrahādīni
7.8.12	ilāndānugānavatīya ihakāre vikalpaḥ
7.8.13	ātīṣādīye ca madhye nidhane
